Nombre,Fecha,4G Health,4G Accessibility,4G Availability,4G Integrity,4G Mobility,4G Resource,4G Retainability
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 01:00",98.63%,99.83%,100.00%,94.50%,99.94%,98.52%,99.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 02:00",99.20%,99.89%,99.77%,97.11%,99.93%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 03:00",99.09%,99.79%,99.77%,96.50%,99.98%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 04:00",99.36%,99.95%,100.00%,97.72%,99.98%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 05:00",99.40%,99.81%,100.00%,98.17%,99.92%,98.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 06:00",99.15%,99.86%,100.00%,96.78%,99.96%,98.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 07:00",99.27%,99.91%,100.00%,97.78%,99.61%,98.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_CAVALIER,"3/03/16, 08:00",99.18%,99.46%,98.84%,98.78%,99.75%,98.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 13:00",99.58%,99.17%,100.00%,99.13%,99.73%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 14:00",99.57%,99.31%,100.00%,99.12%,99.75%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 15:00",99.44%,99.52%,99.31%,98.89%,99.68%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 16:00",99.45%,98.86%,100.00%,99.11%,99.70%,99.01%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 17:00",99.43%,99.38%,100.00%,98.37%,99.73%,99.12%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 18:00",99.48%,99.41%,100.00%,98.50%,99.76%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 19:00",99.55%,99.58%,100.00%,98.61%,99.78%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 20:00",99.60%,99.65%,100.00%,98.87%,99.82%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 21:00",99.55%,99.68%,100.00%,98.57%,99.81%,99.24%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 22:00",99.43%,99.30%,100.00%,98.03%,99.81%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"2/03/16, 23:00",99.37%,99.81%,98.78%,98.14%,99.89%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 00:00",99.10%,99.82%,98.61%,96.85%,99.84%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 01:00",98.80%,99.96%,99.83%,93.50%,99.97%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 02:00",99.48%,99.86%,99.83%,97.79%,99.93%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 03:00",99.46%,99.81%,99.91%,97.66%,99.96%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 04:00",99.66%,99.98%,100.00%,98.47%,99.94%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 05:00",99.57%,99.82%,100.00%,98.10%,99.91%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 06:00",99.52%,99.86%,100.00%,97.94%,99.87%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 07:00",99.56%,99.86%,100.00%,98.33%,99.81%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_CIMETIERE_1,"3/03/16, 08:00",99.31%,99.38%,98.61%,98.61%,99.80%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 13:00",99.60%,99.22%,100.00%,99.30%,99.60%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 14:00",99.60%,99.30%,100.00%,99.18%,99.66%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 15:00",99.51%,99.59%,99.31%,99.00%,99.71%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 16:00",99.55%,98.84%,100.00%,99.44%,99.55%,99.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 17:00",99.00%,99.36%,100.00%,97.31%,99.53%,99.46%,98.33%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 18:00",99.28%,99.41%,100.00%,97.61%,99.54%,99.46%,99.67%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 19:00",99.43%,99.59%,100.00%,98.11%,99.55%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 20:00",99.29%,99.69%,100.00%,97.37%,99.65%,99.35%,99.67%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 21:00",99.30%,99.75%,100.00%,97.84%,99.73%,98.46%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 22:00",99.32%,99.29%,100.00%,97.81%,99.69%,99.12%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"2/03/16, 23:00",99.31%,99.86%,98.78%,98.14%,99.74%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 00:00",99.10%,99.82%,98.61%,97.27%,99.54%,99.35%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 01:00",98.77%,99.87%,99.83%,93.56%,99.80%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 02:00",99.50%,99.86%,99.83%,97.90%,99.84%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 03:00",99.50%,99.79%,99.91%,97.82%,99.90%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 04:00",99.65%,99.95%,100.00%,98.58%,99.81%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 05:00",99.63%,99.71%,100.00%,98.77%,99.72%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 06:00",99.55%,99.82%,100.00%,98.06%,99.84%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 07:00",99.55%,99.94%,100.00%,98.56%,99.55%,99.57%,99.67%
MobileAccess_4G_1_4G_Access_Site_ILE_VERTE,"3/03/16, 08:00",99.25%,99.33%,98.61%,98.50%,99.50%,99.57%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 13:00",98.61%,98.66%,100.00%,99.22%,96.27%,97.50%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 14:00",98.07%,98.60%,100.00%,95.97%,96.34%,97.50%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 15:00",98.39%,99.33%,99.31%,99.02%,96.28%,96.39%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 16:00",98.04%,98.68%,100.00%,98.80%,96.18%,94.61%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 17:00",98.08%,99.67%,100.00%,98.79%,96.08%,93.94%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 18:00",97.63%,99.55%,100.00%,98.86%,96.42%,91.28%,99.67%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 19:00",97.31%,99.68%,99.65%,97.07%,96.50%,91.31%,99.67%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 20:00",97.80%,99.56%,100.00%,97.01%,96.56%,93.97%,99.67%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 21:00",98.13%,99.03%,100.00%,98.72%,96.59%,94.42%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 22:00",98.00%,99.26%,100.00%,98.61%,96.50%,93.97%,99.67%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"2/03/16, 23:00",98.66%,99.37%,98.78%,99.06%,96.98%,97.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 00:00",98.80%,99.81%,98.09%,98.99%,97.49%,98.42%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 01:00",98.75%,99.46%,99.83%,97.39%,97.20%,98.64%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 02:00",99.08%,99.80%,99.65%,99.03%,97.04%,98.97%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 03:00",99.14%,99.92%,99.91%,99.43%,97.02%,98.53%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 04:00",99.33%,99.78%,100.00%,99.39%,97.71%,99.08%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 05:00",98.99%,99.82%,100.00%,97.94%,97.33%,98.86%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 06:00",99.23%,99.93%,100.00%,99.50%,97.41%,98.53%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 07:00",99.05%,99.72%,100.00%,99.61%,97.23%,97.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_LA_FAYETTE,"3/03/16, 08:00",98.86%,99.72%,98.61%,99.72%,97.37%,97.75%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 13:00",98.57%,99.65%,100.00%,98.22%,96.26%,97.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 14:00",98.06%,99.62%,100.00%,94.89%,96.32%,97.52%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 15:00",98.25%,99.57%,99.31%,98.22%,96.20%,96.19%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 16:00",98.02%,98.87%,100.00%,95.89%,96.07%,97.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 17:00",97.78%,99.66%,100.00%,94.00%,95.93%,97.07%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 18:00",97.66%,99.46%,100.00%,94.11%,96.33%,96.41%,99.67%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 19:00",97.58%,99.50%,100.00%,92.33%,96.33%,97.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 20:00",97.58%,99.45%,100.00%,92.33%,96.40%,97.30%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 21:00",97.96%,98.94%,100.00%,94.17%,96.46%,98.19%,100.00%
MobileAccess_4G_1_4G_Access_Site_LES_LYS,"2/03/16, 22:00",97.95%,99.16%,100.00%,94.00%,96.33%,98.19%,100.00%
